article_id,user_id,content,query_type,label
80bb2afea6f64cb9951deea5f715d40f,2336007137,天马资管2020.07.14原油消息面分析：周一(7月13日)欧市盘中，美国原油期货价格震荡下行一度下破40美元，交易商关注将于7月15日召开的石油输出国组织及其盟友(OPEC+)联合部长级会议，预计会议将建议放宽供应削减措施，OPEC+于周末表达了缩减减产规模的意向，理由是全球燃料需求有望复苏。此前OPEC及包括俄罗斯在内的盟友自5月以来连续三个月减产970万桶，创下纪录，从而成功地将油价提升了一倍，带动油价从4月的几十年低点大幅反弹。　　技术分析：从目前走势看，油价走出了深V反转，表现出油价大幅回撤后多头意愿比较强烈。若油价回撤幅度不出现加速的迹象。大概率将出现触底反弹，同时需要关注今日油价上涨的41.0位置，放量上破才能打开上方空间。综合评判：今日短线操作上建议以回调做多为主，反弹高空为辅。上方短期重点关注41.0-41.5一线阻力。下方短期重点关注39.0-38.5一线支撑。原油操作建议：　1、空单建议：反弹到40.5-40.7一线止涨后择机做空，止损：浮亏25-30点位。参考目标位：39.8-39.6一线.2、多单建议：下方38.5-38.7一线附近企稳后择机做多。止损：浮亏25-30点。参考目标看39.5-39.7一线。以上建议，仅供参考，做单灵活对待。ATFX开户请致电：18291879114（微信）。打开下方链接即可注册开户：【电脑端】O网页链接【手机端】O网页链接 收起全文d,query1,2
80bb68fbc1a2f7bc7f268b10cfc662a3,7170162796,今日曝光！#股指期货##安泰策略#【正心法援】操作黄金，外汇，配资，股指，策略等亏损的朋友，你们做的平台绝大多数都不正规，亏损都是不正常的，大家要意识的到，通过法律手段维护大家的权益，帮大家追回投资损失！风险代理，不成功不收费！ ??,query2,4
80bf60e5e28a1db5d9e97b410c48e513,5829948012,冠通期货正规吗？被骗亏损内幕大曝光。真相大揭秘！投资者速来退费#国际护士节##证券# #外汇维权亏损##期货信管家超话##外汇超话##期货黄金原油投资超话##黄金超话# #黄金外汇维权##期权期货外汇黄金超话##上证指数超##mt4指标哪款准确率最高超话# #原油超话##黄金期货超话#专业法律咨询微信:（An10881）凡是投资股票配资外汇黄金原油恒指期货被骗亏损，达到以下要求都可以追回资金：1亏损额度超过2万元.2交易记录在半年内.3有交易报表银行流水.4平台没有跑路还在运作　.5有平台业务员喊单老师聊天记录满足以上5个条件有把握追回、3-15工作日，个别平台30工作日以上。签署明确的协议书，不成功不收费 ！#原油超话##黄金期货超话# 收起全文d,query1,4
80bfb2d19469a4311a47645c362c122c,2421684601,多单在次止盈，获利30个点，5手直接过万，老师看到都开心，前两天带大家小损的几单今晚一单就全部回来了，还搓搓有余。今天全部的承诺都实现了，一线目标也到达了，明天继续加油450终极目标走起。#期货原油#  #螺纹钢期货苹果1901# #恒生指数# #股指期货沪深300# #焦炭焦煤1909# ????????,query1,1
80bfce02cc9b0caed9928eb9fc970b3c,7459510991,在V策财经操作指数被骗可以报警处理吗？警|察能追回我的损失吗？如何追回我的损失？遭遇非法平台该怎么办？许多非法平台会自吹自擂，信誓旦旦地向投资者保证有技术过硬的老师或者“内部信息”，以这些来诱导广大投资者买入自家平台的挂牌商品，更有甚者会鼓吹可以代客理财，帮助客户第一时间跟上行情，承诺赚取利润。起初他们所提供的信息十有八九都是正确的，让投资者自己对比，禁不住诱惑的投资者难免会心痒、上钩。直播间：V策财经带单老师：赵仁东、陈振田、李学良操作品种：商品、期货开户经理：小迪我是在一次偶然机会在V策财经直播群里认识到一位自称股友的人，后来被其拉到了一个交流群，群里有老师讲股票推荐股票分析当前股市行情！刚开始老师给推荐几支牛股，我赚了点，后来老师说股市现在不好做，还一起做这个平台，一定能赚钱，但老师带我炒股也赚了，老师保正我能赚钱甚至一周翻几倍我就答应了，老师就催着我快点开设账户。在老师的催促下，我考虑了一晚上就在该平台开设了账户，并且把多年积蓄拿出一大半54万全部入了金。可是跟着老师的指导做了好几次单，让我账户出现巨额亏损，之后还说让我放心，带我在翻倍补回来。可是还是一直亏损，一个周的时间就亏了48万，但带单老师并未给出我合理的解释，还是不断催促我加金，把前面亏的赚回来，这下让我彻底醒悟了，在拒绝加金并且停止做单后，我就被踢出了群，给老师发消息也不回。在网上找到楚墨法务后，我们签订了相关委托协议提交了相关证据资料，他们就开始了紧急处理。终于，在委托的第八天，平台主动联系我，要求和解，并退还了我大部分亏损资金！------发现自己可能被片后如何应对？那么我们应该准备什么材料有助于追回资金呢？1、冷静对待：被片后切勿惊慌失措，甚至打草惊蛇，也不要在犹豫之间错过最佳的时机。2、收集资料：理顺自己的被片经过，将自己的交易记录，截图保存，必要时可以选择报警。3、保存证据：将带|单老师、开|户客服的联系方式保存下来，以及老师的喊|单记录和客|服开|户记录，操作记录。恒生指数、A50、货币对、美指、HK50、沪深300、期货配资、股票配资、投资顾问、电影投资等亏损都可以来找咨询楚墨法务。 收起全文d,query1,4
80c1f6a0b0d88b6910fda380859b6b9f,5888649516,2019年牛哥和朋友们的那些股事：2019年03月 实盘指导操作！【备注：盈利图 由跟上操作的朋友提供！感谢你们对牛哥的支持！】2019年还有半年，好戏还在后头！牛哥一定会继续努力，再创辉煌，不断为大家奉上牛票！#股市行情##同花顺大数据# #东方财富# #中信证券##中金博客访谈# #金融界网站# #同花顺分享# #同花顺模拟炒股大赛# #东方财富涨停王# #东方财富投资吧##早安中金##金融界股票#,query1,1
80c2c28aae27591872d264ddae3f06f1,6874063309,期货人要行方正以至远。我们公司在行业内AA最高评级的排名前10，是期货市场上数一数二的大型国企期货公司，公司的优势非常明显。公司数据中心分布的城市：上海、大连、郑州、深圳、北京、长沙、杭州。大连河口托管机房、大商华信托管机房、上海张江机房、上证通机房 、上期联通机房 、上海通联机房、上期农商行机房、 中金移动激荡、 杭州网站托管机房 、长沙灾备机房、 深圳通机房、郑商技术中心托管机房等。我们公司交易系统众多：飞创、易盛、CTP极速、CTP二席、CTP系统、CTP迷你、恒生VIP、飞马、广策高频、股票期权等。为客户量身定做：对交易速度有要求自己有托管的客户：速度要求极致：盛立、广策速度要求更倾向于上期：ctp极速速度要求更倾向于中金：ctp迷你速度要求更倾向于大商：飞创Xone对交易速度有要求，但无托管的客户：希望速度适当提升：ctp二席其他个性化需求客户有分账户需求的机构户：恒生vip、易生（根据喜好选择）交易软件多样化，文华、博易云、快期、极星、易生、TB，随后我公司即将上线非常好用的交易软件《无限易》操作简单方便，对于需要快速股指移仓的客户速度明显可见，更多操作说明详询。双十一搞事情，期货开户享优惠。手续费低至加一分，可交易所保证金，低门槛返佣返息，详情欢迎咨询#期货##期权##人民币破7##上证50etf期权##300期权和300etf期权区别##沪深300##铁矿石期货##原油##期货原油##白银##双11##天猫双11# 2北京·三里河,query2,0
80c2f00ed0a6077d6b90951116346e42,6788499283,【行情】英国5年期国债收益率日内跌2个基点至-0.043%，创纪录新低。O微博财经7X24小时频道 ????????,query7,0
80c49be7f04a55b0b52b4125f6761c3a,1704103183,【金融界线下期货量化福利课】报名倒计时啦！金融界智能投资部负责人亲自授课，近五年期货量化交易，期货资管千万量极，现已编写200个CTA策略，感兴趣的小伙伴快带着你的策略，现场实现量化！另外报名还有资深期货私募交易总监每周解盘，为您推送要点资讯，分享研究报告，详细课程信息&报名方式：O福利课！玩转期货量化，现场实现你的策略,query3,0
80c50a7c6c694cd060680f9282136b1c,1068385283,周缺间的震荡未改，下轨附近有机会#超级红人节##财经V峰会#L@宇辉战舰 的一直播（下载App->O网页链接） ????????,query8,0
